phenotype_id,trait_label,pgs_id,variants_used,aggregated_effect
EFO_0000493,family history,PGS001132,1529,0.29084388
EFO_0000768,idiopathic pulmonary fibrosis,PGS012550,13,4.8781132
EFO_0001063+MONDO_0005365,deafness|hearing loss disorder,PGS001252,3731,0.67894767
EFO_0002751+MONDO_0006869,benign|nodular goiter,PGS005261,110,10.086
EFO_0003765,sign or symptom,PGS019547,2,0.012141674
EFO_0003907,deep vein thrombosis,PGS001264,839,-0.16083906
EFO_0003907+MONDO_0000831,deep vein thrombosis|thrombotic disease,PGS000931,534,-0.2295866
EFO_0003907+MONDO_0005279,deep vein thrombosis|pulmonary embolism,PGS001279,94,0.43262179
EFO_0003913,angina pectoris,PGS001262,1851,0.37680598
EFO_0003952,fever of unknown origin,PGS019747,44,0.064859044
EFO_0003959+HP_0000175,cleft lip|Cleft palate,PGS002266,29,3.6875202
EFO_0004195,LDL cholesterol,PGS019801,3616,-0.17137129
EFO_0004229,Dupuytren Contracture,PGS001254,11,0.56952014
EFO_0004269,cardiac arrhythmia,PGS019200,11,0.0092094625
EFO_0004279,suntan,PGS001244,958,3.4407131
EFO_0004281,testicular neoplasm,PGS001806,231,0.62996491
EFO_0004302,anthropometric measurement,PGS001379,850,0.0038273706
EFO_0004305,erythrocyte count,PGS000187,678,19.173089
EFO_0004307,glucose tolerance test,PGS000839,219,0.235
EFO_0004309,platelet count,PGS000186,739,23.765923
EFO_0004309+EFO_0004458+EFO_0008447+OBA_VT0000217,platelet count|C-reactive protein measurement|neutrophil-to-lymphocyte ratio|leukocyte quantity,PGS005251,1113,11.276641
EFO_0004312,vital capacity,PGS002595,1235,1.3923801
EFO_0004319,smoking cessation,PGS001374,663,0.62386962
EFO_0004329,alcohol drinking,PGS019953,10,-0.31687
EFO_0004338+EFO_0009799,body weight|self-reported trait,PGS001006,2638,0.095198586
EFO_0004340,body mass index,PGS002751,14,0.356
EFO_0004340+EFO_0009819,body mass index|comparative body size at age 10,PGS000716,295,-0.72360084
EFO_0004340+PATO_0000383,body mass index|female,PGS000830,372,1.1946
EFO_0004340+PATO_0000384,body mass index|male,PGS000829,290,0.6547
EFO_0004341,body fat distribution,PGS005316,403,0.6968292
EFO_0004343,waist-hip ratio,PGS000842,39,0.881
EFO_0004344,birth weight,PGS001226,6276,0.072683993
