"phecode","phenotype","phecode_exclude_range","sex","rollup","leaf","category_number","category"
"250","Diabetes mellitus","249-250.99","Both",1,0,3,"endocrine/metabolic"
"250.1","Type 1 diabetes","249-250.99","Both",1,0,3,"endocrine/metabolic"
"250.11","Type 1 diabetes with ketoacidosis","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.12","Type 1 diabetes with renal manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.13","Type 1 diabetes with ophthalmic manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.14","Type 1 diabetes with neurological manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.15","Diabetes type 1 with peripheral circulatory disorders","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.2","Type 2 diabetes","249-250.99","Both",1,0,3,"endocrine/metabolic"
"250.21","Type 2 diabetes with ketoacidosis","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.22","Type 2 diabetes with renal manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.23","Type 2 diabetes with ophthalmic manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.24","Type 2 diabetes with neurological manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.25","Diabetes type 2 with peripheral circulatory disorders","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.3","Insulin pump user","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.4","Abnormal glucose","249-250.99","Both",0,0,3,"endocrine/metabolic"
"250.41","Impaired fasting glucose","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.42","Other abnormal glucose","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.5","Glycosuria or Acetonuria","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.6","Polyneuropathy in diabetes","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.7","Diabetic retinopathy","250.70-250.79,360-365.99","Both",1,1,3,"endocrine/metabolic"
"272","Disorders of lipoid metabolism","272-272.99","",1,0,3,"endocrine/metabolic"
"272.1","Hyperlipidemia","272-272.99","",1,0,3,"endocrine/metabolic"
"272.11","Hypercholesterolemia","272-272.99","Both",1,1,3,"endocrine/metabolic"
"272.12","Hyperglyceridemia","272-272.99","Both",1,1,3,"endocrine/metabolic"
"272.13","Mixed hyperlipidemia","272-272.99","Both",1,1,3,"endocrine/metabolic"
"272.14","Hyperchylomicronemia","272-272.99","Both",1,1,3,"endocrine/metabolic"
"272.9","Unspecified disorder of lipoid metabolism","272-272.99","Both",1,1,3,"endocrine/metabolic"
"401","Hypertension","401-405.99","",1,0,8,"circulatory system"
"401.1","Essential hypertension","401-405.99","Both",1,1,8,"circulatory system"
"401.2","Hypertensive heart and/or renal disease","401-405.99","Both",1,0,8,"circulatory system"
"401.21","Hypertensive heart disease","401-405.99","Both",1,1,8,"circulatory system"
"401.22","Hypertensive chronic kidney disease","401-405.99","Both",1,1,8,"circulatory system"
"401.3","Other hypertensive complications","401-405.99","Both",1,1,8,"circulatory system"
"495","Asthma","490-498.99","",1,0,9,"respiratory"
"495.1","Chronic obstructive asthma","490-498.99","Both",1,0,9,"respiratory"
"495.11","Chronic obstructive asthma with exacerbation","490-498.99","Both",1,1,9,"respiratory"
"495.2","Asthma with exacerbation","490-498.99","Both",1,1,9,"respiratory"
