"phecode","ICD","vocabulary_id"
"EM_202","E10","ICD10"
"EM_202.1","E10","ICD10"
"EM_202","E10.0","ICD10"
"EM_202.1","E10.0","ICD10"
"EM_202","E10.1","ICD10"
"EM_202.1","E10.1","ICD10"
"EM_202","E10.2","ICD10"
"EM_202.1","E10.2","ICD10"
"EM_202","E10.3","ICD10"
"EM_202.1","E10.3","ICD10"
"EM_202","E10.4","ICD10"
"EM_202.1","E10.4","ICD10"
"EM_202","E10.5","ICD10"
"EM_202.1","E10.5","ICD10"
"EM_202","E10.6","ICD10"
"EM_202.1","E10.6","ICD10"
"EM_202","E10.7","ICD10"
"EM_202.1","E10.7","ICD10"
"EM_202","E10.8","ICD10"
"EM_202.1","E10.8","ICD10"
"EM_202","E10.9","ICD10"
"EM_202.1","E10.9","ICD10"
"EM_202","E11","ICD10"
"EM_202.2","E11","ICD10"
"EM_202","E11.0","ICD10"
"EM_202.2","E11.0","ICD10"
"EM_202","E11.1","ICD10"
"EM_202.2","E11.1","ICD10"
"EM_202","E11.2","ICD10"
"EM_202.2","E11.2","ICD10"
"EM_202","E11.3","ICD10"
"EM_202.2","E11.3","ICD10"
"EM_202","E11.4","ICD10"
"EM_202.2","E11.4","ICD10"
"EM_202","E11.5","ICD10"
"EM_202.2","E11.5","ICD10"
"EM_202","E11.6","ICD10"
"EM_202.2","E11.6","ICD10"
"EM_202","E11.7","ICD10"
"EM_202.2","E11.7","ICD10"
"EM_202","E11.8","ICD10"
"EM_202.2","E11.8","ICD10"
"EM_202","E11.9","ICD10"
"EM_202.2","E11.9","ICD10"
"EM_202","E12","ICD10"
"EM_202.3","E12","ICD10"
"EM_202","E12.0","ICD10"
"EM_202.3","E12.0","ICD10"
"EM_202","E12.1","ICD10"
"EM_202.3","E12.1","ICD10"
"EM_202","E12.2","ICD10"
"EM_202.3","E12.2","ICD10"
"EM_202","E12.3","ICD10"
"EM_202.3","E12.3","ICD10"
"EM_202","E12.4","ICD10"
"EM_202.3","E12.4","ICD10"
"EM_202","E12.5","ICD10"
"EM_202.3","E12.5","ICD10"
"EM_202","E12.6","ICD10"
"EM_202.3","E12.6","ICD10"
"EM_202","E12.7","ICD10"
"EM_202.3","E12.7","ICD10"
"EM_202","E12.8","ICD10"
"EM_202.3","E12.8","ICD10"
"EM_202","E12.9","ICD10"
"EM_202.3","E12.9","ICD10"
"EM_202","E13","ICD10"
"EM_202.4","E13","ICD10"
"EM_202","E13.0","ICD10"
"EM_202.4","E13.0","ICD10"
"EM_202","E13.1","ICD10"
"EM_202.4","E13.1","ICD10"
"EM_202","E13.2","ICD10"
"EM_202.4","E13.2","ICD10"
"EM_202","E13.3","ICD10"
"EM_202.4","E13.3","ICD10"
"EM_202","E13.4","ICD10"
"EM_202.4","E13.4","ICD10"
"EM_202","E13.5","ICD10"
"EM_202.4","E13.5","ICD10"
"EM_202","E13.6","ICD10"
"EM_202.4","E13.6","ICD10"
"EM_202","E13.7","ICD10"
"EM_202.4","E13.7","ICD10"
"EM_202","E13.8","ICD10"
"EM_202.4","E13.8","ICD10"
"EM_202","E13.9","ICD10"
"EM_202.4","E13.9","ICD10"
"EM_202","E14","ICD10"
"EM_202.4","E14","ICD10"
"EM_202","E14.0","ICD10"
"EM_202.4","E14.0","ICD10"
"EM_202","E14.1","ICD10"
"EM_202.4","E14.1","ICD10"
"EM_202","E14.2","ICD10"
"EM_202.4","E14.2","ICD10"
"EM_202","E14.3","ICD10"
"EM_202.4","E14.3","ICD10"
"EM_202","E14.4","ICD10"
"EM_202.4","E14.4","ICD10"
"EM_202","E14.5","ICD10"
"EM_202.4","E14.5","ICD10"
"EM_202","E14.6","ICD10"
"EM_202.4","E14.6","ICD10"
"EM_202","E14.7","ICD10"
"EM_202.4","E14.7","ICD10"
"EM_202","E14.8","ICD10"
"EM_202.4","E14.8","ICD10"
"EM_202","E14.9","ICD10"
"EM_202.4","E14.9","ICD10"
"EM_239","E78.0","ICD10"
"EM_239.1","E78.0","ICD10"
"EM_239.11","E78.0","ICD10"
"EM_239","E78.1","ICD10"
"EM_239.2","E78.1","ICD10"
"EM_239.21","E78.1","ICD10"
"EM_239","E78.2","ICD10"
"EM_239.1","E78.2","ICD10"
"EM_239.2","E78.2","ICD10"
"EM_239.3","E78.2","ICD10"
"EM_239","E78.3","ICD10"
"EM_239.4","E78.3","ICD10"
"EM_239","E78.4","ICD10"
"EM_239","E78.5","ICD10"
"EM_202","G59.0","ICD10"
"EM_202","G63.2","ICD10"
"EM_202","H28.0","ICD10"
"EM_202","H36.0","ICD10"
"CV_401","I10","ICD10"
"CV_401.1","I10","ICD10"
"CV_401","I11","ICD10"
"CV_401.2","I11","ICD10"
"CV_401","I11.0","ICD10"
"CV_401.2","I11.0","ICD10"
"CV_401","I11.9","ICD10"
"CV_401.2","I11.9","ICD10"
"CV_401","I12","ICD10"
"CV_401","I12.0","ICD10"
"CV_401","I12.9","ICD10"
"CV_401","I13","ICD10"
"CV_401.2","I13","ICD10"
"CV_401","I13.0","ICD10"
"CV_401.2","I13.0","ICD10"
"CV_401","I13.1","ICD10"
"CV_401.2","I13.1","ICD10"
"CV_401","I13.2","ICD10"
"CV_401.2","I13.2","ICD10"
"CV_401","I13.9","ICD10"
"CV_401.2","I13.9","ICD10"
"CV_401","I15","ICD10"
"CV_401.6","I15","ICD10"
"CV_401","I15.0","ICD10"
"CV_401.6","I15.0","ICD10"
"CV_401.61","I15.0","ICD10"
"CV_401","I15.1","ICD10"
"CV_401.6","I15.1","ICD10"
"CV_401","I15.2","ICD10"
"CV_401.6","I15.2","ICD10"
"CV_401","I15.8","ICD10"
"CV_401.6","I15.8","ICD10"
"CV_401","I15.9","ICD10"
"CV_401.6","I15.9","ICD10"
"CV_401","I67.4","ICD10"
"RE_475","J45","ICD10"
"RE_475","J45.0","ICD10"
"RE_475","J45.1","ICD10"
"RE_475","J45.8","ICD10"
"RE_475","J45.9","ICD10"
"RE_475","J46","ICD10"
"EM_202","M14.2","ICD10"
"EM_202","N08.3","ICD10"
"CV_401","O10","ICD10"
"CV_401","O10.0","ICD10"
"CV_401.1","O10.0","ICD10"
"CV_401","O10.1","ICD10"
"CV_401.2","O10.1","ICD10"
"CV_401","O10.2","ICD10"
"CV_401","O10.9","ICD10"
"CV_401","O11","ICD10"
"CV_401","O13","ICD10"
"CV_401","O16","ICD10"
"EM_202","O24","ICD10"
"EM_202","O24.0","ICD10"
"EM_202.1","O24.0","ICD10"
"EM_202","O24.1","ICD10"
"EM_202","O24.2","ICD10"
"EM_202.3","O24.2","ICD10"
"EM_202","O24.3","ICD10"
"EM_202","O24.4","ICD10"
"EM_202","O24.9","ICD10"
"CV_401","P29.2","ICD10"
"EM_202","P70.2","ICD10"
